'person', 'title', 'company', 'dates'
'62', 'Software Engineer', 'Syntel Inc', 'Oktober 2011 bis  August 2014'
'63', 'Software Developer', 'Accenture - Arlington, VA', 'Oktober 2002 bis  Mai 2016'
'63', 'Software Developer', 'Verizon, Inc - Arlington, VA', 'August 1998 bis  April 2002'
'64', 'Net Developer', 'Sapient Nitro - Orange, CA', 'Juni 2015 bis  Gegenwart'
'64', 'Net Developer', 'TCS/USAA - San Antonio, TX', 'April 2014 bis  Mai 2015'
'64', 'Net Developer', 'ADP - San Ramon, CA', 'Januar 2013 bis  März 2014'
'64', 'Sr. Software Developer', 'Fidelity Investments - Seattle, WA', 'Juli 2011 bis  Dezember 2012'
'64', 'Net Programmer', 'Infosys - Hyderabad, Andhra Pradesh', 'Juli 2009 bis  Mai 2011'
'65', 'Graphic Designer & Developer', 'The Emory Group - Duncan, OK', 'August 2015 bis  Gegenwart'
'65', 'Graphic Designer', 'The Iron Yard - Spartanburg, SC', 'Juni 2015 bis  August 2015'
'65', 'Graphic Designer', 'Upward Sports - Spartanburg, SC', 'Januar 2015 bis  Juni 2015'
'66', 'Senior Developer', 'AIG, American General Life Insurance - Brentwood, TN', '2014 bis  Gegenwart'
'66', 'Systems Analyst', 'N-Tier Solutions - Winston-Salem, NC', '2010 bis  2014'
'66', 'Systems Analyst', 'ARVINMERITOR, Gabriel Ride Control - Brentwood, TN', '2000 bis  2009'
'66', 'Systems Consultant', 'COMPUWARE - Brentwood, TN', '1999 bis  2000'
'66', 'Systems Consultant', 'METRO INFORMATION SERVICES - Brentwood, TN', '1997 bis  1998'
'66', 'Systems Consultant', 'METRO INFORMATION SERVICES - Brentwood, TN', '1995 bis  1996'
'66', 'Systems Consultant', 'METRO INFORMATION SERVICES - Brentwood, TN', '1995 bis  1995'
'66', 'Systems Consultant', 'METRO INFORMATION SERVICES - Brentwood, TN', '1994 bis  1995'
'66', 'Data Systems Manager', 'METRO NASHVILLE GOVERNMENT - Nashville, TN', '1993 bis  1993'
'66', 'Programmer/Analyst', 'METRO NASHVILLE GOVERNMENT - Nashville, TN', '1988 bis  1993'
'66', 'Programmer', 'METRO NASHVILLE GOVERNMENT - Nashville, TN', '1985 bis  1988'
'67', 'Software Developer', 'Triad Resources - Houston, TX', 'November 2010 bis  Juni 2014'
'67', 'Programmer Analyst, Consulting at Shell Energy North America', 'Insight Global - Houston, TX', 'Juli 2008 bis  April 2010'
'67', 'Programmer Analyst, Contractor at Hewlett Packard', 'Ajilon Consulting - Houston, TX', 'Mai 2008 bis  Juli 2008'
'67', 'Programmer Analyst, Consultant at Dynegy and DTE Energy Trading', 'MRE Consulting - Houston, TX', 'Juli 2006 bis  Oktober 2007'
'67', 'Programmer Analyst, Consultant at Shell Trading', 'ISphere, Inc - Houston, TX', 'Oktober 2005 bis  Mai 2006'
'67', 'Software Developer', 'Matrikon International - Houston, TX', 'Februar 2005 bis  September 2005'
'67', 'Software Engineer', 'LexisNexis formerly Seisint, Inc - Boca Raton, FL', 'Januar 1999 bis  Februar 2002'
'68', 'Python Developer', 'Google - Mounian View, CA', 'März 2016 bis  Juni 2016'
'68', 'Python Test Engineer', 'Cisco - Milpitas, CA', 'Oktober 2015 bis  Januar 2016'
'68', 'Software Engineer', 'VMWare - Palo Alto, CA', 'Juli 2015 bis  September 2015'
'68', 'Map Data Test Engineer', 'Apple - Cupertino, CA', 'Mai 2015 bis  Juni 2015'
'68', 'PHP Developer', 'Entryless - Redwood City, CA', 'März 2015 bis  März 2015'
'68', 'Python Developer', 'Lithium - San Francisco, CA', 'Oktober 2014 bis  November 2014'
'68', 'Software Engineer', 'LinkedIn - Mountain View, CA', 'Juni 2014 bis  Juli 2014'
'68', 'Software Engineer', 'Valiantica Inc - San Jose, CA', 'April 2014 bis  Juni 2014'
'68', 'Software Engineer', 'True Sample - San Francisco, CA', 'Januar 2014 bis  März 2014'
'68', 'Java Software Engineer', 'CBS Interactive - San Francisco, CA', 'März 2013 bis  September 2013'
'68', 'Software Engineer', 'DataLayer, KodiakApi - Milpitas, CA', 'Mai 2012 bis  Oktober 2012'
'68', 'PHP Developer', 'GovernSoft - Los Altos, CA', 'Januar 2012 bis  Februar 2012'
'68', 'Web Software Developer', 'Federal Reserve Bank of San Francisco - San Francisco, CA', 'September 2000 bis  September 2011'
'69', 'Developer', 'SAP ABAP', 'Januar 2015 bis  Gegenwart'
'69', 'Developer', 'SAP ABAP - Phillips, OK', 'Mai 2012 bis  Dezember 2014'
'69', 'Developer', 'SAP ABAP', 'Mai 2011 bis  Mai 2012'
'69', 'Developer', 'SAP ABAP', 'Januar 2011 bis  Mai 2011'
'69', 'Developer', 'SAP ABAP - Philadelphia, PA', 'Januar 2010 bis  Dezember 2010'
'69', 'Developer', 'SAP ABAP', 'Juni 2009 bis  Dezember 2009'
'69', 'Developer', 'SAP ABAP', 'Mai 2009 bis  Dezember 2009'
'69', 'Developer', 'SAP ABAP', 'Februar 2007 bis  Januar 2008'
'69', 'Developer', 'SAP ABAP', 'Juli 2006 bis  Januar 2007'
'69', 'Developer', 'SAP ABAP', 'Januar 2006 bis  Juli 2006'
'70', 'Application Developer', 'Super Appli - Nagoya, Japan', 'Februar 2015 bis  Mai 2016'
'70', 'Application Developer', 'anydooR Inc. - Tokyo, Japan', 'Januar 2013 bis  Januar 2015'
'70', 'Software Developer', 'Rinsoft LLC - Calabasas, CA', 'April 2011 bis  Januar 2013'
'70', 'English Teacher', 'Yokkaichi Board of Education - Yokkaichi, Japan', 'August 2006 bis  Juli 2009'
'71', 'Net Developer', 'Virtual Clarity - Sterling, VA', 'November 2015 bis  Gegenwart'
'71', 'Programmer Analyst', 'Verizon - Hilliard, OH', 'November 2014 bis  September 2015'
'71', 'Sr. .Net Developer', 'Wipro - Redmond, WA', 'April 2014 bis  Oktober 2014'
'71', 'Net Onsite Coordinator/Developer', 'Macy's Systems and Technology - Mason, OH', 'Dezember 2013 bis  März 2014'
'71', 'Net Developer', 'OhioHealth - Columbus, OH', 'Februar 2013 bis  Oktober 2013'
'71', 'Net Programmer', 'TASC - Madison, WI', 'Februar 2012 bis  Januar 2013'
'71', 'Systems Analyst', 'State Farm Insurance - Bloomington, IL', 'August 2011 bis  Januar 2012'
'71', 'IT Consultant', 'Grasim Industries - Hyderabad, Andhra Pradesh', 'Dezember 2009 bis  Januar 2011'
'71', 'Net Developer', 'Confai Solutions Pvt. Ltd - Hyderabad, Andhra Pradesh', 'Januar 2009 bis  November 2009'
'71', 'Dot Net Programmer', 'Addone IT Consulting - Hyderabad, Andhra Pradesh', 'April 2007 bis  Dezember 2008'
'72', 'Software Developer', 'The Ideum Inc', 'Februar 2015 bis  Gegenwart'
'72', 'IT/ Computer Systems Intern', 'The Fund Dreamer Inc', 'Juli 2014 bis  September 2014'
'72', 'Research Assistantship', 'The University of New Mexico - Albuquerque, NM', 'August 2012 bis  Mai 2014'
'73', 'Web Developer', 'City and County of San Francisco Department of Technology - San Francisco, CA', 'Dezember 2015 bis  April 2016'
'73', 'Web Developer, Army Reserve', 'Army Reserve - 191st Army Band - Dublin, CA', 'Mai 2014 bis  November 2015'
'73', 'Web Developer/Programmer', 'Freelancing - Oakland, CA', 'Februar 2013 bis  März 2014'
'74', 'Developer', 'Trimaran', 'Juli 2014 bis  Juni 2016'
'74', 'Principal consultant', 'State chancellery - Chişinău', 'Mai 2013 bis  Juli 2014'
'75', 'Java Developer', 'CAREER NOTE - Houston, TX', 'Mai 2012 bis  Mai 2014'
'75', 'Senior Java Developer', 'ETHIOPIAN SHIPPING & LOGISTICS SERVICES ENTERPRISE - Addis Ababa', 'Februar 2010 bis  Januar 2012'
'75', 'Java Developer', 'BETHZATA HEALTH SERVICES PLC - Addis Ababa', 'Januar 2009 bis  Februar 2010'
'76', 'Net Developer', 'Technicolor SA - Camarillo, CA', 'Januar 2016 bis  Gegenwart'
'76', 'Remote worker (Encompass Consultant\.Net Developer)', 'First Guaranty Mortgage Corporation - Vienna, VA', 'Juli 2015 bis  November 2015'
'76', 'Net Developer', 'MMB - Saint Paul, MN', 'Mai 2015 bis  Juni 2015'
'76', 'Application Developer', 'Placer County Office of Education - Auburn, CA', 'Oktober 2014 bis  Februar 2015'
'76', 'Application Developer', 'Placer County Office of Education - Auburn, CA', 'Februar 2014 bis  Oktober 2014'
'76', 'Application Developer', 'Placer County Office of Education - Auburn, CA', 'November 2013 bis  Februar 2014'
'76', 'Application Developer', 'Trimark Associates Inc - Folsom, CA', 'Juli 2013 bis  Oktober 2013'
'76', 'Net Developer', 'American Pacific Mortgage Co - Roseville, CA', 'Februar 2013 bis  Juni 2013'
'76', 'Net Developer', 'American Pacific Mortgage Co - Roseville, CA', 'August 2012 bis  Februar 2013'
'76', 'Net Developer', 'American Pacific Mortgage Co - Roseville, CA', 'Juni 2012 bis  August 2012'
'76', 'Net Developer', 'American Pacific Mortgage Co - Roseville, CA', 'Januar 2012 bis  Juni 2012'
'76', 'Net Developer', 'Avid Technologies - Mountain View, CA', 'September 2011 bis  November 2011'
'76', 'Systems Analyst', 'Holland Company LP - Crete, IL', '2011 bis  August 2011'
'76', 'IT Developer', 'California Department of Public Health - Deloitte Consulting - Richmond, CA', 'Juni 2010 bis  Juni 2011'
'76', 'IT Developer', 'California Department of Public Health - Deloitte Consulting - Richmond, CA', 'Februar 2010 bis  Juni 2010'
'76', 'Sr. Developer', 'Pfizer Inc', 'Juni 2008 bis  Dezember 2009'
'76', 'Team Leader / Sr. Developer', 'Financial Software Ltd', 'März 2008 bis  Juni 2008'
'76', 'Developer', 'JP Morgan Chase', 'Februar 2007 bis  Dezember 2007'
'76', 'Senior System Analyst/Developer', 'Abacus International - UK', 'September 2006 bis  Dezember 2006'
'76', 'Developer', 'Vidya - IN', 'Juli 2006 bis  September 2006'
'76', 'Developer', 'Directors Guild of America', 'Juni 2005 bis  Juni 2006'
'76', 'Developer', 'Cambridge Technologies', 'April 2001 bis  Februar 2002'
'77', 'PV system developer', 'Juhl Renewable Energy Systems - Chicago, IL', '2014 bis  Gegenwart'
'77', 'solar project developer', 'SoCore Energy - Chicago, IL', '2010 bis  2011'
'77', 'Technical Sales Manager', 'PVPower Inc', '2010 bis  2010'
'77', 'solar project developer', 'HarneTech LLC - Arlington Heights, IL', '2009 bis  2010'
'77', 'photovoltaic integrator', 'Borrego Solar - San Jose, CA', '2007 bis  2009'
'78', 'C# .NET Developer', 'Modern-woodmen - Rock Island, IL', 'Januar 2015 bis  Gegenwart'
'78', 'Net Developer', 'HSBC - New York, NY', 'August 2013 bis  Dezember 2014'
'78', 'Net Developer', 'Emdeon - Nashville, TN', 'April 2012 bis  August 2013'
'78', 'Net Developer', 'Shell Oil, Houston Texas - Houston, TX', 'Januar 2011 bis  März 2012'
'78', 'Net Developer', 'TVS Motor Company - IN', 'März 2010 bis  Dezember 2010'
'79', 'Informatica Developer', 'TMX Finance, GA', 'November 2012 bis  Januar 2016'
'79', 'SQL Developer', 'GBCS Inc', 'Juli 2008 bis  August 2011'
'80', 'Lead Developer', 'Sabre', 'April 2012 bis  November 2013'
'80', 'Developer', 'Crown', '2011 bis  2011'
'81', 'Developer', 'Credit Suisse', 'Juli 2013 bis  Gegenwart'
'81', 'Developer', 'Barclays', 'Juli 2012 bis  Juli 2013'
'81', 'Developer', 'BNY Mellon, JP Morgan, HSBC, UBS', 'August 2011 bis  Juli 2012'
'81', 'Data Lifecycle Management (DLM) is part of the eSpear Infrastructure Program', 'Deutsche Bank', 'Januar 2010 bis  Februar 2011'
'81', 'Developer', 'Deutsche Bank', 'Januar 2009 bis  Februar 2011'
'82', 'Tableau Developer', 'Chevron Corporation - Houston, TX', 'Januar 2015 bis  Gegenwart'
'82', 'Tableau Developer', 'USAA - San Antonio, TX', 'August 2013 bis  Januar 2015'
'82', 'Tableau Developer', 'Bank of America - Charlotte, NC', 'Juli 2012 bis  Juli 2013'
'82', 'Tableau Developer', 'Enermines Inc - Houston, TX', 'Februar 2010 bis  Juli 2012'
'83', 'Senior Developer', 'Entech Consulting - Malvern, PA', 'November 2015 bis  April 2016'
'83', 'Senior Developer/System Analyst (Contracted)', 'Stryker Orthobiologics - Malvern, PA', 'Dezember 2014 bis  Oktober 2015'
'83', 'Senior Developer/Technical Analyst (Contracted)', 'Take Care Health Systems / Walgreens - Conshohocken, PA', 'März 2011 bis  Dezember 2014'
'83', 'Senior Software Engineer (Contracted)', 'Ceridian Corporation - Exton, PA', 'Februar 2009 bis  März 2011'
'83', 'Senior Technical Consultant', 'Perficient Inc - West Chester, PA', 'Januar 2006 bis  November 2008'
'83', 'Web Application Developer', 'Xerox Corporation - Exton, PA', 'Juli 2000 bis  Januar 2006'
'83', 'Programmer/Analyst', 'Delaware Valley Financial Services Inc - Berwyn, PA', 'Mai 1998 bis  Juni 2000'
'84', 'Front End Developer', 'Anthem Group - Virginia Beach, VA', 'Februar 2015 bis  Gegenwart'
'84', 'JAVA/ UI Developer', 'COCO COLA - Charlotte, NC', 'Oktober 2013 bis  Januar 2015'
'84', 'WEB/ UI Developer', 'PPL, Pittsburg - PA', 'Mai 2012 bis  September 2013'
'84', 'UI Developer', 'United Illuminating - Orange, CT', 'Februar 2011 bis  April 2012'
'84', 'Jr. WEB/ Java Developer', 'Sierra Atlantic Software Services Ltd', 'August 2009 bis  Dezember 2010'
'85', 'Software Developer/ SQL Developer', 'Ignite Sourcing - Schaumburg, IL', 'Mai 2015 bis  März 2016'
'85', 'Data Conversion Specialist/Senior PLSQL Developer', 'Amdocs - IN', 'Oktober 2012 bis  Januar 2015'
'85', 'Data Analyst/SQL Developer', 'Amdocs - IN', 'Oktober 2010 bis  September 2012'
'85', 'Java Developer', 'CyberQ', 'Dezember 2009 bis  Oktober 2010'
'86', 'Software Developer/Software Developer in Test', 'Sabre Airline Solution - Dallas, TX', 'Februar 2015 bis  Mai 2016'
'87', 'Fullstack Developer', 'Rubruc Solution - Manatí, PR', 'Juni 2009 bis  Gegenwart'
'87', 'Business Intelligence Developer', 'Wovenware', 'Juli 2014 bis  Juni 2015'
'88', 'BI Developer', 'J.JILL Group', 'Februar 2016 bis  Gegenwart'
'88', 'Data Analyst/BI Developer', 'LIBERTY MUTUAL INSURANCE', 'Juli 2015 bis  Januar 2016'
'88', 'Server Developer', 'MS SQL - Rockville, MD', 'März 2014 bis  Juni 2015'
'88', 'BI Developer', 'MS SQL - Township of Warren, NJ', 'Januar 2013 bis  Februar 2014'
'88', 'BI Developer', 'MS SQL', 'Oktober 2011 bis  Dezember 2012'
'88', 'Data Warehouse/Business Intelligence Developer', 'HEALTH REPUBLIC INSURANCE - New York, NY', 'Juli 2010 bis  September 2011'
'88', 'SQL Developer', 'ICICI BANK', 'Juli 2008 bis  Juni 2010'
'89', 'BI Developer', 'J.JILL Group', 'Februar 2016 bis  Gegenwart'
'89', 'Data Analyst/BI Developer', 'LIBERTY MUTUAL INSURANCE', 'Juli 2015 bis  Januar 2016'
'89', 'Server Developer', 'MS SQL - Rockville, MD', 'März 2014 bis  Juni 2015'
'89', 'BI Developer', 'MS SQL - Township of Warren, NJ', 'Januar 2013 bis  Februar 2014'
'89', 'BI Developer', 'MS SQL', 'Oktober 2011 bis  Dezember 2012'
'89', 'Data Warehouse/Business Intelligence Developer', 'HEALTH REPUBLIC INSURANCE - New York, NY', 'Juli 2010 bis  September 2011'
'89', 'SQL Developer', 'ICICI BANK', 'Juli 2008 bis  Juni 2010'
'90', 'Developer', 'Bitnami - Seville, OH', 'Juni 2015 bis  Mai 2016'
'91', 'Developer', 'Carestream Dental - Stockholm', 'August 2000 bis  April 2015'
'92', 'Java Developer', 'NJDOE - Trenton, NJ', 'September 2015 bis  Gegenwart'
'92', 'Java Developer', 'AT&T - Middletown, NJ', 'Januar 2015 bis  August 2015'
'92', 'Sales and Fulfillment', 'Wells Fargo Bank - Des Moines, IA', 'Mai 2014 bis  November 2014'
'92', 'Software Engineer', 'Amazon - Seattle, WA', 'Januar 2012 bis  November 2013'
'92', 'Java Developer Vision Systems', 'Invoice Generation for Pharmaceutical Company - Hyderabad, Andhra Pradesh', 'Mai 2010 bis  Dezember 2011'
'92', 'Java Developer Bank', 'Mumbai, Maharashtra', 'August 2009 bis  April 2010'
'93', 'Salesforce Developer', 'Hughes Networks & Systems - Germantown, MD', 'Februar 2015 bis  Gegenwart'
'93', 'Salesforce Developer', 'Sudden Link Communications - St. Louis, MO', 'März 2014 bis  Januar 2015'
'93', 'Salesforce Developer', 'VW Credit - Naperville, IL', 'April 2013 bis  Februar 2014'
'93', 'Salesforce Developer', 'Ford - Detroit, MI', 'September 2012 bis  März 2013'
'93', 'Salesforce Developer', 'Sony Corporation', 'Februar 2012 bis  August 2012'
'93', 'Salesforce Developer', 'Chase Bank - Irvine, CA', 'Februar 2011 bis  Januar 2012'
'93', 'Java Developer', 'Cox Communications - Atlanta, GA', 'Januar 2010 bis  Januar 2011'
'93', 'Java Developer', 'Intergraph - Hyderabad, Andhra Pradesh', 'Juni 2007 bis  Dezember 2009'
'94', 'Developer', 'Noob Media LLC - Fredericksburg, VA', '2012 bis  Gegenwart'
'94', 'Senior Programmer', 'Government Employees Insurance Company', '2005 bis  Gegenwart'
'94', 'Claims Examiner', 'Government Employees Insurance Company', '2005 bis  2012'
'95', 'Oracle Developer', 'Heartland Payment System - Dallas, TX', 'Oktober 2014 bis  Gegenwart'
'95', 'Oracle PL/SQL Developer', 'Success Factors - Reston, VA', 'Juni 2013 bis  September 2014'
'95', 'Oracle - PL/SQL Developer', 'ABBOTT Laboratories - Waukegan, IL', 'September 2012 bis  Mai 2013'
'95', 'Oracle Developer', 'Open Range Communications - Denver, CO', 'Februar 2012 bis  August 2012'
'95', 'Oracle - PL/SQL Developer', 'VV Info Business Services - Hyderabad, Andhra Pradesh', 'Januar 2011 bis  November 2011'
'95', 'Oracle - PL/SQL Developer', 'Ybrant Technologies - Hyderabad, Andhra Pradesh', 'August 2008 bis  Oktober 2010'
'96', 'Consultant', 'Helios Power - Boston, MA', 'Januar 2014 bis  Dezember 2014'
'96', 'LLC Member/Manager/Administrator/Hands On', 'Time Out Cafe - Groton, CT', 'März 2007 bis  März 2012'
'96', 'LLC Member/Manager/Administrator/Hands On', 'Seven Seas Restaurant - Groton, CT', 'März 2007 bis  März 2012'
'96', 'System Administrator', 'Unisys Corp. (Amgen Inc Onsite) - West Greenwich, RI', 'Februar 2005 bis  Oktober 2006'
'97', 'Architect/Pega Developer', 'Ally Bank - New York, NY', 'Juni 2014 bis  Gegenwart'
'97', 'Pega Developer', 'Capital One - Wilmington, DE', 'Februar 2012 bis  Mai 2014'
'97', 'Pega Architect', 'Cisco Systems - San Jose, CA', 'März 2010 bis  Januar 2012'
'97', 'Pega Developer', 'TIAA-CREF - Charlotte, NC', 'Juni 2008 bis  Februar 2010'
'97', 'Architect/Pega Developer, AIG', 'One Claim - Parsippany, NJ', 'Oktober 2006 bis  Mai 2008'
'98', 'Hadoop Developer', 'American Airlines - Dallas, TX', 'Februar 2015 bis  Gegenwart'
'98', 'Java Developer', 'Sears - Mumbai, Maharashtra', 'August 2012 bis  Juli 2013'
'98', 'Java Developer', 'Capgemini - Hyderabad, Andhra Pradesh', 'Juli 2011 bis  August 2012'
'98', 'Java/J2EE Developer', 'Pragmatic Solutions - Pune, Maharashtra', 'August 2009 bis  Juni 2011'
'99', 'Software Developer', 'GCI SCIENCE & TECHNOLOGY CO., LTD - GuangZhou, CN', 'Juni 2012 bis  Dezember 2014'
'100', 'Senior Developer/Architect', 'Building Enterprise Applications Across Multiple Industries - Indianapolis, IN', 'Januar 2016 bis  Gegenwart'
'100', 'Systems Integration Analyst', 'Roche Diagnostics - Indianapolis, IN', '2000 bis  2015'
'101', 'Java Developer', 'Statestreet - Quincy, MA', 'September 2015 bis  Gegenwart'
'101', 'Java Developer', 'Century Link, CO', 'Juli 2014 bis  August 2015'
'101', 'Texas - Java Developer', 'Frost Bank', 'Juni 2013 bis  März 2014'
'101', 'Java/ J2EE Developer', 'Valuelabs LLP India', 'Dezember 2011 bis  Mai 2013'
'101', 'India - Java Developer', 'Prithvi Information Solutions Ltd - Hyderabad, Andhra Pradesh', 'Februar 2009 bis  November 2011'
'102', 'UX Developer', 'Front End UI - Columbus, OH', 'Juni 2015 bis  Gegenwart'
'102', 'Developer', 'Front End UI - Malvern, PA', 'Oktober 2014 bis  Mai 2015'
'102', 'Front End Web Developer', 'SOA Software - Hyderabad, Andhra Pradesh', 'Februar 2012 bis  Februar 2014'
'102', 'Web Developer', 'Arsen Management Consultants - Hyderabad, Andhra Pradesh', 'September 2010 bis  Januar 2012'
'103', 'Web Developer', 'www.Rentashare.com - Palo Alto, CA', '2014 bis  2014'
'104', 'Independent Developer', 'iOS Swift Developer - Burlingame, CA', 'Januar 2013 bis  Gegenwart'
'104', 'IT instructor', 'University "Sierra Madre" - Zacatecas, Zac.', 'November 2010 bis  Dezember 2012'
'104', 'Java Developer', 'Quarksoft S. C - Aguascalientes, Ags.', 'Juni 2009 bis  Oktober 2010'
'104', 'Analyst', 'MetLife, Galindo y Asociados S.A de C.V - Aguascalientes, Ags.', '2007 bis  2008'
'104', 'Analyst', 'INEGI - Aguascalientes, Ags.', '2007 bis  2007'
'105', 'Lead Developer', 'CSX', 'Dezember 2006 bis  Gegenwart'
'108', 'Developer', 'Applied Technologies, LLC - Newport Beach, CA', 'Oktober 2013 bis  Gegenwart'
'108', 'District Manager', 'Automatic Data Processing - San Francisco, CA', 'April 2013 bis  Oktober 2013'
'108', 'Web Developer', 'University of San Francisco - San Francisco, CA', 'Februar 2010 bis  August 2013'
'108', 'Marketing and Sales Representative', 'Apple - San Francisco, CA', 'Juli 2009 bis  Dezember 2009'
'109', 'Software Developer in Test', 'Hitachi Data Systems - Redmond, WA', 'April 2011 bis  Februar 2012'
'110', 'Mainframe Developer', 'State Street Bank and Trust Company - Quincy, MA', 'Oktober 2014 bis  Gegenwart'
'110', 'Project Lead', 'Allstate Insurance - Northbrook, IL', 'Juli 2013 bis  Oktober 2014'
'110', 'Business Systems Analyst', 'Syntel India Ltd - Northbrook, IL', 'Dezember 2011 bis  Juli 2013'
'110', 'None', 'Syntel India Ltd', 'März 2007 bis  Juli 2013'
'110', 'Project Lead', 'Syntel India Ltd - Northbrook, IL', 'August 2010 bis  November 2011'
'110', 'Project Lead', 'Syntel India Ltd - South Barrington, IL', 'September 2007 bis  August 2010'
'110', 'Project Lead', 'Syntel India Ltd', 'März 2007 bis  September 2007'
'110', 'Programmer Analyst', 'Citigroup - New York, NY', 'Mai 2005 bis  Dezember 2005'
'110', 'Programmer', 'Wipro Technologies - Franklin, MA', 'Februar 2002 bis  Dezember 2004'
'110', 'None', 'Wipro Technologies', 'März 2000 bis  Dezember 2004'
'110', 'Programmer', 'Wipro Technologies - Franklin, MA', 'Juli 2001 bis  Dezember 2001'
'110', 'Programmer', 'Wipro Technologies - Franklin, MA', 'Mai 2000 bis  Juli 2001'
'110', 'Programmer', 'Wipro Technologies - Franklin, MA', 'März 2000 bis  April 2000'
'111', 'Software Developer', 'TFS', '2012 bis  2012'
'112', 'NET Developer', 'Big Heart Pet Brands - Pittsburgh, PA', 'November 2015 bis  Gegenwart'
'112', 'NET Developer', 'Deloitte Consulting LLP - Camp Hill, PA', 'März 2015 bis  Oktober 2015'
'112', 'NET Developer', 'Deloitte Consulting LLP - Camp Hill, PA', 'März 2014 bis  März 2015'
'112', 'NET Developer', 'Computer Aid Incorporation, Harrisburg', 'April 2013 bis  Februar 2014'
'112', 'NET Developer', 'Comcast - Philadelphia, PA', 'Oktober 2011 bis  März 2013'
'112', 'Net Developer', 'Dentaquest - Milwaukee, WI', 'September 2010 bis  September 2011'
'112', 'Web Developer', 'Global Financial Group', 'August 2009 bis  Juni 2010'
'113', 'Lead Developer', 'Acadia Lead Development Services - Kettering, OH', 'September 2015 bis  Gegenwart'
'114', 'Developer', 'Infosys Technologies - Northbrook, IL', 'Juni 2010 bis  Gegenwart'
'115', 'J2EE Developer', 'State Farm Insurance - Dallas, TX', 'Januar 2016 bis  Gegenwart'
'115', 'Sr. J2EE Developer', 'State Farm Insurance, IL', 'Dezember 2014 bis  Januar 2016'
'115', 'Sr. J2EE Developer', 'Madison Area Technical College', 'März 2013 bis  November 2014'
'115', 'Sr. J2EE Developer', 'Citi Group - Tampa, FL', 'April 2012 bis  März 2013'
'115', 'Sr. J2EE Developer', 'All State Insurance - Chicago, IL', 'Juli 2011 bis  März 2012'
'115', 'Java Developer', 'Verizon Telecom - Tampa, FL', 'November 2010 bis  Juni 2011'
'115', 'Java Programmer', 'HCL Technology - IN', 'Mai 2008 bis  September 2010'
'116', 'Sr. Java Developer', 'Sapient Corporation - New York, NY', 'März 2015 bis  Gegenwart'
'116', 'Sr. Java Developer', 'Sapient corporation - Gurgaon, Haryana', 'Februar 2014 bis  Dezember 2014'
'116', 'Sr. IT Consultant (Module. Lead)', 'Fujitsu Consulting India Pvt. Ltd - Noida, Uttar Pradesh', 'Juni 2011 bis  Dezember 2013'
'116', 'Sr. Java Developer', 'Fujitsu Consulting - Noida, Uttar Pradesh', 'Juni 2011 bis  November 2013'
'116', 'Software Engineer', 'IBM India Pvt Ltd - Noida, Uttar Pradesh', 'November 2010 bis  Mai 2011'
'116', 'Software Engineer', 'IBM India Pvt. Ltd - Noida, Uttar Pradesh', 'September 2010 bis  Mai 2011'
'116', 'Asst. System Engineer', 'TCS - Noida, Uttar Pradesh', 'März 2009 bis  September 2010'
'116', 'Asst. System Engineer', 'Tata Consultancy Services Pvt. Ltd - Noida, Uttar Pradesh', 'September 2007 bis  September 2010'
'116', 'Asst System Engineer', 'TCS - Noida, Uttar Pradesh', 'November 2007 bis  Februar 2009'
'117', 'SOFTWARE DEVELOPER', 'Compnology, LLC', 'August 2015 bis  Gegenwart'
'117', 'None', 'Secret Security Clearance', 'Juli 1995 bis  Gegenwart'
'117', 'None', 'Virtual Essentials Software', 'März 2006 bis  Januar 2015'
'117', 'EDI TEAM LEAD DEVELOPER', 'Virtual Essentials Software', 'März 2008 bis  Mai 2014'
'117', 'NET SOFTWARE ENGINEER', 'Virtual Essentials Software - Fresno, CA', 'September 2007 bis  März 2008'
'117', 'WEB OPERATIONS MANAGER', 'Virtual Essentials Software - Fresno, CA', 'August 2006 bis  September 2007'
'117', 'SOFTWARE DEVELOPER/SYSTEM ANALYST', 'COMMUNITY & SOCIAL - Clovis, CA', 'Dezember 2004 bis  Februar 2006'
'117', 'EXECUTIVE ASSISTANT TO DIRECTOR', 'VA Central California Health Care System - Fresno, CA', 'November 2001 bis  November 2003'
'117', 'PERSONNEL ADMINISTRATION CENTER SUPERVISOR', 'United States Army', 'April 1995 bis  Mai 1999'
'118', 'Developer', 'Scraping', 'September 2015 bis  Oktober 2015'
'118', 'Developer', 'NeuSoft Group', 'Juni 2014 bis  August 2014'
'119', 'Designer/Developer', 'Shell Petroleum', 'Januar 2015 bis  Gegenwart'
'119', 'Helped the QA', 'Global Sourcing', 'Mai 2013 bis  Februar 2014'
'119', 'BW Consultant', 'SAP BW', 'Juli 2012 bis  April 2013'
'119', 'BW Consultant', 'CCA & General', 'August 2009 bis  Juni 2010'
'119', 'None', 'Fidelity Investments', 'Mai 2005 bis  September 2006'
'120', 'Owner/Lead Developer', 'Caleb Heidenreich Sole Proprietor', 'Oktober 2013 bis  Gegenwart'
'120', 'Volunteer Minecraft Server Admin', 'TechnoBuffalo', 'November 2012 bis  Gegenwart'
'120', 'Robotics Team Mentor', 'Portsmouth West High School', 'Februar 2016 bis  April 2016'
'120', 'ITS Intern', 'Ohio Environmental Protection Agency', 'Mai 2015 bis  August 2015'
'120', 'ITS Intern', 'Ohio Environmental Protection Agency', 'Juni 2014 bis  August 2014'
