'person', 'title', 'company', 'dates'
'9', 'UI Developer', 'Synchronoss - Bridgewater, NJ', 'August 2015 bis  Gegenwart'
'9', 'UI Developer', 'CDW - Chicago, IL', 'April 2014 bis  Juli 2015'
'9', 'UI Developer', 'Sutter Health - Sunnyvale, CA', 'Januar 2013 bis  März 2014'
'9', 'UI Developer', 'Cerner - Kansas City, MO', 'November 2011 bis  Dezember 2012'
'9', 'Software Developer', 'Ispace Global Services', 'Dezember 2010 bis  September 2011'
'9', 'UI Developer', '3Edge Software Solutions', 'September 2009 bis  November 2010'
'10', 'Java developer', 'Verizon, Infinite Computer Solutions(i) - Tampa, FL', 'Februar 2016 bis  Gegenwart'
'10', 'Java developer', 'Xerox, Infinite Computer Solutions(i) - Sacramento, CA', 'April 2015 bis  Januar 2016'
'10', 'UI Developer', 'Houston, TX', 'Februar 2014 bis  März 2015'
'10', 'UI Developer', 'Ameriprise Financial - Phoenix, AZ', 'August 2012 bis  Januar 2014'
'10', 'UI Developer', 'Fiserv - Brookfield, WI', 'Juli 2011 bis  Juli 2012'
'10', 'UI Developer', 'Siemens Medical Solution - Malvern, PA', 'Juli 2010 bis  Mai 2011'
'10', 'Java Developer', 'Godrej', 'Dezember 2008 bis  Juni 2010'
'11', 'Net Developer / Full Stack Developer', 'Wells Fargo Bank, SFO', 'Oktober 2015 bis  Gegenwart'
'11', 'Net Developer', 'State Farm - Phoenix, AZ', 'August 2014 bis  September 2015'
'11', 'Senior Software Developer', 'Progress IT - Hyderabad, Andhra Pradesh', 'Juni 2012 bis  Juli 2014'
'11', 'Jr Developer / Intern Developer', 'Progress IT - Hyderabad, Andhra Pradesh', 'Dezember 2008 bis  Juni 2012'
'12', 'Web/UI Developer', 'Qdinka', 'Januar 2015 bis  Gegenwart'
'12', 'Freelance Web designer/Developer', 'Freelancer', 'Januar 2014 bis  November 2015'
'13', 'Developer', 'First Data Corporation', 'Januar 2014 bis  Gegenwart'
'13', 'Associate consultant', 'IN', 'Mai 2013 bis  Februar 2016'
'14', 'Java/J2EE Developer', 'Liberty Mutual - Dover, NH', 'September 2015 bis  Gegenwart'
'15', 'NET Developer', 'Modern-woodmen - Rock Island, IL', 'August 2015 bis  Gegenwart'
'15', 'Net Developer', 'HSBC - New York, NY', 'August 2014 bis  Juli 2015'
'15', 'Net Developer', 'Aetna - Hartford, CT', 'August 2013 bis  Juli 2014'
'15', 'Net Developer', 'OhioHealth - Columbus, OH', 'April 2012 bis  August 2013'
'15', 'Net Developer', 'Verizon Telecommunications - New York, NY', 'Januar 2011 bis  März 2012'
'15', 'Net Developer', 'TVS Motor Company', 'März 2010 bis  Dezember 2010'
'16', 'Java\J2ee Developer', 'Confidential', 'Oktober 2013 bis  Gegenwart'
'16', 'Java\J2ee Developer', 'Confidential - Matteson, IL', 'Dezember 2010 bis  September 2013'
'16', 'Java\J2ee Developer', 'Confidential,Matteson, IL', '2009 bis  November 2010'
'17', 'Onsite Property Manager-Sawgrass Plantation Orlando Master and Sawgrass Phase 1a', 'Developer's Division - Orlando, FL', 'März 2014 bis  Gegenwart'
'17', 'Director of Condominium Management/Property Manager', 'GNO Property Management', 'Oktober 2011 bis  Februar 2014'
'17', 'Director of Condominium Management', 'Property One - New Orleans, LA', 'Juli 2010 bis  September 2011'
'17', 'Onsite Manager', 'Relocated to New Orleans - Orlando, FL', 'Juli 2009 bis  Juli 2009'
'17', 'Onsite Manager/Resort 721 Units, High End Properties, Commercial', 'GALL ENTERPRISES - Kissimmee, FL', '2005 bis  2009'
'17', 'Transitional Property Manager/Marketing Coordinator', 'Empirian Properties - Winter Park, FL', '2004 bis  2005'
'17', 'General Manager/Property Manager', '25 Properties - Kissimmee, FL', 'Oktober 2002 bis  April 2004'
'18', 'UI Developer', 'Northern Trust - Chicago, IL', 'Oktober 2014 bis  Gegenwart'
'18', 'UI Developer', 'Comcast - Mount Laurel, NJ', 'Juli 2012 bis  September 2014'
'18', 'Jr.Developer', 'Aditri Technologies Pvt Ltd - Hyderabad, Andhra Pradesh', 'Mai 2010 bis  Juni 2012'
'19', 'Sr .Net Developer', 'Office Depot - Boca Raton, FL', 'Mai 2015 bis  Gegenwart'
'19', 'Sr .Net Developer', 'State of California - Sacramento, CA', 'Oktober 2014 bis  April 2015'
'19', 'Net Developer', 'Unum - Portland, ME', 'August 2013 bis  August 2014'
'19', 'Net Developer', 'Northeastern University - Boston, MA', 'August 2012 bis  Juli 2013'
'19', 'Net Developer', 'Databids / APOLLO Financial Group - New York, NY', 'Februar 2011 bis  Juli 2012'
'19', 'Net Developer', 'Databids / Synchronoss Technologies - Hyderabad, Andhra Pradesh', 'März 2010 bis  Januar 2011'
'19', 'Net Developer', 'Databids / Safeway - Hyderabad, Andhra Pradesh', 'Juli 2009 bis  Februar 2010'
'20', 'SharePoint Architect / Developer', 'Kabul, Afghanistan', 'Dezember 2014 bis  Gegenwart'
'20', 'Architect / Designer / Drupal Developer', 'Reston, VA', 'Juni 2014 bis  Dezember 2014'
'20', 'Software Engineer / Drupal Developer', 'McLean, VA', 'März 2014 bis  Juni 2014'
'20', 'Web Developer', 'Indian Head, MD', 'November 2013 bis  Februar 2014'
'20', 'Website / Database Architect &Developer', 'Las Vegas, NV', 'Januar 2013 bis  November 2013'
'20', 'Website & Database Development Manager', 'Kabul, Afghanistan', 'Januar 2012 bis  Dezember 2012'
'20', 'Information Technology Specialist / Data Forensics Analyst', 'Aberdeen, MD', 'August 2010 bis  Januar 2012'
'20', 'Website Developer / Administrator', 'Las Vegas, NV', 'Dezember 2006 bis  August 2010'
'20', 'Intelligence / Operations Analyst', 'Seoul, South Korea', 'November 2001 bis  November 2006'
'21', 'Developer', 'Refund Advisory Corp - Dallas, TX', 'April 2013 bis  Mai 2016'
'21', 'Developer', 'REATA Pharmaceutical - Irving, TX', 'Januar 2002 bis  2013'
'22', 'Developer', 'SM NETSERV TECHNOLOGIES PVT LTD', 'Februar 2011 bis  September 2013'
'23', 'Developer', 'Delta Dental California - San Francisco, CA', 'November 2014 bis  Gegenwart'
'23', 'Support Team Lead', 'Southwestern Energy SWN - Houston, TX', 'Januar 2014 bis  November 2014'
'23', 'Senior Developer', 'Ingersoll Rand Company, LCS - Davidson, NC', 'Mai 2013 bis  Dezember 2013'
'23', 'Developer', 'CONVERSIONS TO LOAD DATA - Raleigh, NC', 'Oktober 2012 bis  April 2013'
'23', 'Support and Developer', 'Emerson, Chellomedia, UK', 'März 2012 bis  September 2012'
'23', 'Developer', 'University of Oxford, UK - Oxford', 'September 2011 bis  März 2012'
'23', 'Developer', 'HD Supply', 'Februar 2011 bis  August 2011'
'23', 'Developer', 'Citrix - Raleigh, NC', 'März 2010 bis  Februar 2011'
'23', 'Applications Developer', 'NITEO IT - Pune, Maharashtra', 'März 2009 bis  März 2010'
'23', 'Developer', 'PERSONALISATION - Pune, Maharashtra', 'April 2007 bis  März 2009'
'24', 'Developer', 'Tata Consultancy Services Ltd', 'August 2014 bis  Gegenwart'
'24', 'Developer/Production Support L3', 'Tata Consultancy Services Ltd - Irving, TX', 'Mai 2010 bis  Gegenwart'
'25', 'Java Developer', 'Individual Developer - Plano, TX', 'Juli 2014 bis  Gegenwart'
'25', 'Typesetter', 'Toppan Best-set Premedia Limited - Guangzhou, China', 'September 2009 bis  Juni 2014'
'26', 'Developer', 'Eli Kirk Riser - Provo, UT', 'Juli 2015 bis  Gegenwart'
'28', 'Website Developer', 'Self Employed Website Developer and Graphic Designer', '2007 bis  Gegenwart'
'28', 'Research Analyst - Tourism & Recreational Development Committee', 'Commonwealth of Pennsylvania- House of Representatives - Harrisburg, PA', '2010 bis  2014'
'28', 'Research Analyst-Legislative Policy and Research Office', 'Commonwealth of Pennsylvania- House of Representatives - Harrisburg, PA', '2009 bis  2010'
'29', 'Developer', 'Oblicus, Inc - Atlanta, GA', 'Juni 2015 bis  Gegenwart'
'29', 'Business Analyst', 'COX Enterprises - Atlanta, GA', 'September 2014 bis  Mai 2015'
'29', 'Developer Trainee', 'Idhasoft Inc, Training Division - Atlanta, GA', 'April 2013 bis  August 2013'
'29', 'Intern Student', 'George Washington University - Washington, DC', 'April 2010 bis  August 2010'
'29', 'Investigative Reporter', 'The Georgia First Amendment Foundation', 'September 2008 bis  Dezember 2009'
'29', 'Apprentice Developer', 'Meditran, Inc - Atlanta, GA', 'Mai 2008 bis  August 2008'
'30', 'Php developer', 'Techstudio - Brooklyn, NY', 'Mai 2015 bis  Gegenwart'
'30', 'Web developer', 'Kia Motors - Chişinău', 'August 2014 bis  April 2015'
'30', 'Web developer', 'Febian It - Chişinău', 'Februar 2012 bis  August 2014'
'31', 'Developer', 'FEDEX CUSTOM CRITICAL - Akron, OH', 'Januar 2016 bis  Gegenwart'
'31', 'SAP BW Consultant and PL/SQL', 'Computer Science Corporation Pvt.Ltd', 'August 2010 bis  Dezember 2014'
'31', 'Associate BW Consultant', 'Computer Science Corporation Pvt.Ltd', 'August 2010 bis  August 2014'
'31', 'SQL developer', 'COMPUTER SCIENCE CORPORATION', 'Oktober 2010 bis  August 2011'
'32', 'Enovia PLM Developer', 'FLSmidth, USA - Salt Lake City, UT', 'Februar 2011 bis  Gegenwart'
'33', 'Front End Developer', 'Optime Consoulting - Weston, FL', 'Oktober 2015 bis  Gegenwart'
'33', 'Front End Developer', 'Chessnek Inc - Miami, FL', '2012 bis  2015'
'33', 'UX/UI Designer', 'UCI', '2009 bis  2014'
'34', 'IOS Developer', 'PayPal - San Jose, CA', 'Mai 2015 bis  Gegenwart'
'34', 'IOS Developer', 'Patterson companies inc - Saint Paul, MN', 'Februar 2014 bis  April 2015'
'34', 'iOS Developer', 'Fifth Third Bank - Cincinnati, OH', 'März 2013 bis  November 2013'
'34', 'iOS developer', 'JC Penney - Atlanta, GA', 'Juni 2012 bis  Februar 2013'
'34', 'iOS Developer', 'Ingenious Med, Inc - Atlanta, GA', 'April 2011 bis  März 2012'
'34', 'Programmer Analyst', 'HDFC Bank - Hyderabad, Andhra Pradesh', 'Mai 2010 bis  April 2011'
'35', 'Application Developer', 'IT Department - Utica, NY', 'Februar 2016 bis  Mai 2016'
'35', 'Application Developer I', 'IT Department', 'September 2015 bis  September 2015'
'35', 'Intern', 'IT Department', 'Mai 2015 bis  August 2015'
'35', 'Tutor', 'Commission for the Blind', 'September 2014 bis  Mai 2015'
'35', 'Graduate Assistant', 'Computer Science Department', 'Oktober 2013 bis  Mai 2014'
'36', 'iOS Developer', 'Ivy Gulch LLC. - Wilmington, OH', 'Mai 2014 bis  Gegenwart'
'37', 'Java Developer', 'Sabre Holdings Inc - Dallas, TX', 'Mai 2014 bis  Gegenwart'
'37', 'Java / J2EE Developer', 'ETCC - Dallas, TX', 'März 2012 bis  April 2014'
'37', 'J2EE Developer', 'Lockheed Martin, MD', 'Dezember 2011 bis  Februar 2012'
'37', 'Java / J2EE Developer', 'Northrop Grumman, MD', 'Dezember 2010 bis  November 2011'
'37', 'Java/J2EE Developer', 'Florida Power and Light Company - Seabrook, NH', 'Oktober 2009 bis  November 2010'
'37', 'Java developer', 'HSBC Bank - IN', 'Mai 2007 bis  September 2009'
'38', 'Software Development Engineer', 'Bristol Myers Squibb - Princeton, NJ', 'April 2015 bis  Gegenwart'
'38', 'Java Developer', 'Daimler Trucks North America - Portland, OR', 'Juni 2013 bis  März 2015'
'38', 'er and Client', 'US Bank - Minneapolis, MN', 'März 2012 bis  Mai 2013'
'38', 'Application Developer', 'Impecsoft Solutions - ANDHRA PRADESH, IN', 'Juni 2009 bis  Februar 2012'
'39', 'Developer', 'Bank Of America - Charlotte, NC', 'November 2013 bis  März 2016'
'39', 'Developer', 'TransAmerica - Cedar Rapids, IA', 'Oktober 2011 bis  November 2013'
'39', 'Analyst Programmer', 'Tata Teleservices Ltd - Hyderabad, Andhra Pradesh', 'Juni 2007 bis  September 2011'
'40', 'Software Developer', 'Randstad Technologies - Chicago, IL', 'Mai 2016 bis  Gegenwart'
'40', 'Personal travel/sabbatical', 'n/a', 'April 2015 bis  April 2016'
'40', 'Software Engineer', 'Reliasoft - Tucson, AZ', 'Juni 2010 bis  April 2015'
'40', 'Level 2 Technical Support for DFSMShsm', 'International Business Machines - Tucson, AZ', 'Mai 2006 bis  August 2009'
'40', 'Student Leader/Web designer', 'Asian American Center - DeKalb, IL', 'Juni 2005 bis  Mai 2006'
'40', 'Intern/Consultant', 'Federal Reserve Bank of Chicago - Chicago, IL', 'Februar 2001 bis  September 2001'
'41', 'Software Developer', 'Nokia (formerly Alcatel-Lucent) - Atlanta, GA', 'Dezember 2008 bis  April 2016'
'41', 'J2ME Developer', 'Handango', 'Januar 2007 bis  November 2008'
